record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"854778956","626408274","159503564","117.96","56.200000000000045","2.333","300","128","93","23","0.0","56.200000000000045","2.333","0","0","0","0.0",
"854778957","626408420","159503211","120.37","56.39999999999998","2.314","300","129","93","23","0.0","56.39999999999998","2.314","0","0","0","0.0",
"854778958","626408574","159502838","122.91","56.39999999999998","2.249","300","127","93","23","0.0","56.39999999999998","2.249","0","0","0","0.0",
"854778959","626408724","159502454","125.48","56.39999999999998","2.258","300","128","96","23","0.0","56.39999999999998","2.258","0","0","0","0.0",
"854778960","626408899","159502094","128.08","56.39999999999998","2.295","300","126","96","23","0.0","56.39999999999998","2.295","0","0","0","0.0",
"854778961","626409067","159501786","130.39","56.39999999999998","2.295","300","129","96","23","0.0","56.39999999999998","2.295","0","0","0","0.0",
"854778962","626409230","159501460","132.79","56.39999999999998","2.286","300","128","95","23","0.0","56.39999999999998","2.286","0","0","0","0.0",
"854778963","626409342","159501061","135.28","56.39999999999998","2.295","300","129","94","23","0.0","56.39999999999998","2.295","0","0","0","0.0",
"854778964","626409461","159500641","137.86","56.39999999999998","2.295","300","128","94","23","0.0","56.39999999999998","2.295","0","0","0","0.0",
"854778965","626409595","159500251","140.39","56.39999999999998","2.314","300","127","94","23","0.0","56.39999999999998","2.314","0","0","0","0.0",
"854778966","626409741","159499857","142.93","56.60000000000002","2.333","300","129","94","23","0.0","56.60000000000002","2.333","0","0","0","0.0",
"854778967","626409886","159499449","145.6","56.799999999999955","2.342","300","131","94","23","0.0","56.799999999999955","2.342","0","0","0","0.0",
"854778968","626410071","159499034","148.5","56.799999999999955","2.361","300","131","94","23","0.0","56.799999999999955","2.361","0","0","0","0.0",
"854778969","626410264","159498604","151.52","56.799999999999955","2.398","300","130","94","23","0.0","56.799999999999955","2.398","0","0","0","0.0",
"854778970","626410468","159498222","154.4","57.0","2.435","300","130","95","23","0.0","57.0","2.435","0","0","0","0.0",
"854778971","626410655","159497895","156.9","57.0","2.454","300","131","95","23","0.0","57.0","2.454","0","0","0","0.0",
"854778972","626410817","159497530","159.47","57.0","2.454","300","129","95","23","0.0","57.0","2.454","0","0","0","0.0",
"854778973","626410921","159497149","161.76","57.0","2.445","300","124","95","23","0.0","57.0","2.445","0","0","0","0.0",
"854778974","626410997","159496787","163.93","57.200000000000045","2.426","300","120","95","23","0.0","57.200000000000045","2.426","0","0","0","0.0",
"854778975","626411086","159496401","166.16","57.39999999999998","2.398","300","118","95","22","0.0","57.39999999999998","2.398","0","0","0","0.0",
"854778976","626411147","159496000","168.51","57.60000000000002","2.389","300","120","94","22","0.0","57.60000000000002","2.389","0","0","0","0.0",
"854778977","626411204","159495603","170.7","57.60000000000002","2.351","300","119","94","22","0.0","57.60000000000002","2.351","0","0","0","0.0",
"854778978","626411340","159495250","173.03","57.799999999999955","2.333","300","119","94","22","0.0","57.799999999999955","2.333","0","0","0","0.0",
"854778979","626411503","159494892","175.56","57.799999999999955","2.333","300","120","95","22","0.0","57.799999999999955","2.333","0","0","0","0.0",
"854778980","626411680","159494132","180.09","57.799999999999955","2.342","300","127","95","22","0.0","57.799999999999955","2.342","0","0","0","0.0",
"854778981","626411795","159493610","183.12","58.0","2.342","300","128","95","22","0.0","58.0","2.342","0","0","0","0.0",
"854778982","626412063","159493256","186.28","58.0","2.361","300","130","95","22","0.0","58.0","2.361","0","0","0","0.0",
"854778983","626412311","159492940","189.2","58.200000000000045","2.37","300","132","94","22","0.0","58.200000000000045","2.37","0","0","0","0.0",
"854778984","626412553","159492640","192.02","58.39999999999998","2.379","300","134","94","22","0.0","58.39999999999998","2.379","0","0","0","0.0",
"854778985","626412729","159492339","194.34","58.799999999999955","2.389","300","136","93","22","0.0","58.799999999999955","2.389","0","0","0","0.0",
"854778986","626413011","159492158","197.16","59.0","2.389","300","138","93","22","0.0","59.0","2.389","0","0","0","0.0",
"854778987","626413305","159492053","199.96","59.200000000000045","2.407","300","138","93","22","0.0","59.200000000000045","2.407","0","0","0","0.0",
"854778988","626413653","159492045","203.2","59.39999999999998","2.435","300","138","93","22","0.0","59.39999999999998","2.435","0","0","0","0.0",
"854778989","626413954","159492066","206.01","59.60000000000002","2.454","300","137","93","22","0.0","59.60000000000002","2.454","0","0","0","0.0",
"854778990","626414197","159492108","208.21","59.60000000000002","2.454","300","139","92","22","0.0","59.60000000000002","2.454","0","0","0","0.0",
"854778991","626414452","159492210","210.6","59.60000000000002","2.407","300","139","92","22","0.0","59.60000000000002","2.407","0","0","0","0.0",
"854778992","626414683","159492337","212.77","59.39999999999998","2.314","300","138","92","22","0.0","59.39999999999998","2.314","0","0","0","0.0",
"854779040","626417153","159491361","215.37","59.39999999999998","1.4","300","129","61","20","0.0","59.39999999999998","1.4","0","0","0","0.0",
"854779041","626417413","159491608","218.11","59.39999999999998","1.987","300","128","61","20","0.0","59.39999999999998","1.987","0","0","0","0.0",
"854779042","626417715","159491776","221.07","59.200000000000045","2.398","300","125","61","20","0.0","59.200000000000045","2.398","0","0","0","0.0",
"854779043","626418064","159491933","224.44","59.200000000000045","2.79","300","118","61","20","0.0","59.200000000000045","2.79","0","0","0","0.0",
"854779044","626418424","159492165","228.05","59.200000000000045","2.995","300","118","97","20","0.5","59.200000000000045","2.995","0","0","0","0.0",
"854779045","626418752","159492400","231.39","59.200000000000045","3.126","300","117","97","20","0.5","59.200000000000045","3.126","0","0","0","0.0",
"854779046","626419106","159492619","234.92","59.0","3.163","300","115","95","20","0.0","59.0","3.163","0","0","0","0.0",
"854779047","626419476","159492803","238.52","59.0","3.378","300","115","94","20","0.0","59.0","3.378","0","0","0","0.0",
"854779048","626419826","159493005","241.98","59.0","3.378","300","113","94","20","0.0","59.0","3.378","0","0","0","0.0",
"854779049","626420188","159493191","245.52","59.0","3.294","300","112","93","20","0.0","59.0","3.294","0","0","0","0.0",
"854779050","626420528","159493382","248.88","59.200000000000045","3.256","300","111","93","20","0.0","59.200000000000045","3.256","0","0","0","0.0",
"854779051","626420845","159493568","252.02","59.0","3.228","300","110","93","20","0.0","59.0","3.228","0","0","0","0.0",
"854779052","626421172","159493782","255.3","59.200000000000045","3.163","300","110","93","20","0.0","59.200000000000045","3.163","0","0","0","0.0",
"854779053","626421457","159493974","258.17","59.200000000000045","3.144","300","109","93","20","0.0","59.200000000000045","3.144","0","0","0","0.0",
"854779054","626421758","159494154","261.17","59.60000000000002","3.042","300","108","93","20","0.0","59.60000000000002","3.042","0","0","0","0.0",
"854779055","626422039","159494306","263.93","59.60000000000002","3.014","300","107","92","20","0.0","59.60000000000002","3.014","0","0","0","0.0",
"854779056","626422339","159494458","266.85","59.799999999999955","2.958","300","107","92","20","0.0","59.799999999999955","2.958","0","0","0","0.0",
"854779057","626422699","159494624","270.34","59.60000000000002","2.958","300","102","92","20","0.0","59.60000000000002","2.958","0","0","0","0.0",
"854779058","626423078","159494797","274.01","59.60000000000002","3.023","300","96","92","20","0.0","59.60000000000002","3.023","0","0","0","0.0",
"854779059","626423457","159495007","277.74","59.39999999999998","3.079","300","91","92","20","0.0","59.39999999999998","3.079","0","0","0","0.0",
"854779060","626423850","159495190","281.55","59.200000000000045","3.154","300","91","92","20","0.0","59.200000000000045","3.154","0","0","0","0.0",
"854779061","626424241","159495391","285.38","59.200000000000045","3.219","300","97","92","20","0.0","59.200000000000045","3.219","0","0","0","0.0",
"854779062","626424633","159495593","289.21","59.0","3.275","300","103","92","20","0.0","59.0","3.275","0","0","0","0.0",
"854779063","626425028","159495814","293.1","59.0","3.312","300","105","92","20","0.0","59.0","3.312","0","0","0","0.0",
"854779064","626425402","159496000","296.75","58.799999999999955","3.406","300","108","91","20","0.0","58.799999999999955","3.406","0","0","0","0.0",
"854779065","626425781","159496184","300.43","59.0","3.434","300","107","91","19","0.0","59.0","3.434","0","0","0","0.0",
"854779066","626426151","159496353","304.01","58.799999999999955","3.462","300","108","91","19","0.0","58.799999999999955","3.462","0","0","0","0.0",
"854779067","626426523","159496542","307.64","59.0","3.48","300","112","92","19","0.0","59.0","3.48","0","0","0","0.0",
"854779068","626426872","159496756","311.12","59.200000000000045","3.48","300","112","93","19","0.0","59.200000000000045","3.48","0","0","0","0.0",
