record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"854261495","626400645","159519570","0.43","57.39999999999998","0.019","0.0","0.0","0.0","0.0","0.0","0.0","300","77","0","25","1","0.0","57.39999999999998","0.019","0","0","0","0.0",
"854261496","626400587","159519762","1.58","57.39999999999998","0.0","41.7","50.0","632.0","0.0","53.68","0.0","300","79","47","25","1","0.5","57.39999999999998","0.0","0","0","0","0.0",
"854261497","626400594","159520081","3.37","57.799999999999955","0.364","75.0","37.75","250.0","0.0","55.25","0.0","300","79","91","25","1","0.5","57.799999999999955","0.364","0","0","0","0.0",
"854261498","626400525","159520450","5.56","57.39999999999998","0.569","77.0","37.5","250.0","0.0","55.09","0.0","300","79","90","25","1","0.5","57.39999999999998","0.569","0","0","0","0.0",
"854261499","626400404","159520833","8.01","57.39999999999998","1.549","77.0","38.0","254.0","14.93","53.12","503.0","300","79","91","25","1","0.0","57.39999999999998","1.549","0","0","0","0.0",
"854261500","626400306","159521111","9.81","57.0","2.407","74.0","39.0","256.0","14.43","52.65","500.0","300","84","92","25","1","0.5","57.0","2.407","0","0","0","0.0",
"854261501","626400170","159521396","11.87","57.39999999999998","2.407","73.0","39.5","257.0","12.68","52.18","717.0","300","87","92","25","1","0.5","57.39999999999998","2.407","0","0","0","0.0",
"854261502","626400002","159521677","14.1","57.39999999999998","2.23","72.2","39.5","258.0","12.09","51.78","650.0","300","89","92","25","1","0.0","57.39999999999998","2.23","0","0","0","0.0",
"854261503","626399798","159521996","16.73","57.39999999999998","2.23","73.0","40.0","261.0","12.0","51.56","633.0","300","92","91","25","1","0.5","57.39999999999998","2.23","0","0","0","0.0",
"854261504","626399599","159522225","19.0","57.200000000000045","2.305","74.0","40.0","262.0","11.71","51.43","653.0","300","95","91","25","1","0.0","57.200000000000045","2.305","0","0","0","0.0",
"854261505","626399417","159522400","20.97","57.200000000000045","2.305","74.0","40.25","264.0","10.93","51.0","708.0","300","98","91","25","1","0.0","57.200000000000045","2.305","0","0","0","0.0",
"854261506","626399168","159522623","23.62","57.200000000000045","2.23","73.0","40.0","263.0","10.53","50.87","729.0","300","100","91","25","1","0.0","57.200000000000045","2.23","0","0","0","0.0",
"854261507","626398930","159522878","26.27","57.200000000000045","2.239","73.0","40.0","265.0","10.43","50.78","732.0","300","103","90","25","1","0.5","57.200000000000045","2.239","0","0","0","0.0",
"854261508","626398703","159523123","28.8","57.200000000000045","2.314","73.0","40.25","265.0","10.15","50.78","739.0","300","107","91","25","1","0.0","57.200000000000045","2.314","0","0","0","0.0",
"854261509","626397231","159524241","43.69","57.200000000000045","2.351","73.0","40.25","265.0","9.84","50.68","747.0","300","111","91","25","1","0.0","57.200000000000045","2.351","0","0","0","0.0",
"854261510","626396726","159524707","49.07","57.200000000000045","2.351","72.2","40.25","264.0","9.65","50.68","757.0","300","114","91","25","1","0.0","57.200000000000045","2.351","0","0","0","0.0",
"854261511","626396400","159525073","52.73","57.200000000000045","2.351","72.2","40.25","266.0","9.46","50.68","762.0","300","116","90","25","1","0.5","57.200000000000045","2.351","0","0","0","0.0",
"854261512","626396151","159525587","56.45","57.200000000000045","2.799","71.2","40.0","263.0","9.46","50.68","760.0","300","116","91","25","1","0.0","57.200000000000045","2.799","0","0","0","0.0",
"854261513","626395928","159526049","59.76","57.39999999999998","2.939","72.2","40.0","263.0","9.37","50.68","768.0","300","117","91","25","1","0.0","57.39999999999998","2.939","0","0","0","0.0",
"854261514","626395708","159526343","62.41","57.200000000000045","2.799","72.2","40.0","262.0","9.06","50.46","806.0","300","118","91","25","1","0.0","57.200000000000045","2.799","0","0","0","0.0",
"854261515","626395560","159526613","64.47","57.39999999999998","2.762","72.2","40.0","264.0","8.78","50.46","838.0","300","119","91","25","1","0.0","57.39999999999998","2.762","0","0","0","0.0",
"854261516","626395455","159526831","65.95","57.39999999999998","2.538","71.2","40.0","264.0","8.46","50.46","842.0","300","119","91","25","1","0.0","57.39999999999998","2.538","0","0","0","0.0",
"854261517","626395367","159527063","67.45","57.60000000000002","2.165","69.2","40.5","265.0","8.37","50.37","844.0","300","120","91","25","1","0.5","57.60000000000002","2.165","0","0","0","0.0",
"854261518","626395262","159527308","69.04","57.60000000000002","2.006","68.2","40.5","265.0","8.28","50.37","837.0","300","120","91","24","1","0.5","57.60000000000002","2.006","0","0","0","0.0",
"854261519","626395164","159527574","70.73","57.799999999999955","1.903","68.2","40.5","265.0","8.37","50.28","805.0","300","121","91","24","1","0.5","57.799999999999955","1.903","0","0","0","0.0",
"854261520","626395068","159527912","72.61","57.799999999999955","1.829","68.2","40.5","264.0","8.59","50.28","753.0","300","121","91","24","1","0.5","57.799999999999955","1.829","0","0","0","0.0",
"854261521","626394967","159528225","74.38","57.60000000000002","1.829","68.2","40.5","264.0","9.15","50.18","689.0","300","122","92","24","1","0.0","57.60000000000002","1.829","0","0","0","0.0",
"854261522","626394876","159528383","75.54","57.60000000000002","1.941","68.2","41.0","265.0","9.37","50.18","677.0","300","122","92","24","1","0.0","57.60000000000002","1.941","0","0","0","0.0",
"854261523","626394698","159528758","77.97","57.60000000000002","1.941","68.2","40.75","264.0","9.65","50.18","667.0","300","123","92","24","1","0.5","57.60000000000002","1.941","0","0","0","0.0",
"854261524","626394537","159529038","80.03","57.60000000000002","1.941","68.2","40.5","264.0","9.93","50.18","647.0","300","124","92","24","1","0.5","57.60000000000002","1.941","0","0","0","0.0",
"854261525","626394371","159529412","82.64","57.39999999999998","1.997","68.2","40.75","265.0","10.03","50.18","645.0","300","124","92","24","1","0.0","57.39999999999998","1.997","0","0","0","0.0",
"854261526","626394277","159529627","84.05","57.39999999999998","2.034","68.2","40.5","265.0","10.25","50.09","645.0","300","125","92","24","1","0.5","57.39999999999998","2.034","0","0","0","0.0",
"854261527","626394062","159529958","86.59","57.39999999999998","1.997","69.2","41.0","268.0","10.34","50.09","648.0","300","126","92","24","1","0.0","57.39999999999998","1.997","0","0","0","0.0",
"854261528","626393838","159530264","89.03","57.39999999999998","2.034","70.2","40.75","268.0","10.43","50.09","648.0","300","126","92","24","1","0.0","57.39999999999998","2.034","0","0","0","0.0",
"854261529","626393617","159530606","91.83","57.200000000000045","2.062","69.2","41.0","268.0","10.43","50.09","647.0","300","126","92","24","1","0.0","57.200000000000045","2.062","0","0","0","0.0",
"854261530","626393480","159530848","93.61","57.200000000000045","2.109","68.2","41.0","268.0","10.43","50.09","650.0","300","126","92","24","1","0.0","57.200000000000045","2.109","0","0","0","0.0",
"854261531","626393317","159531193","95.99","57.200000000000045","2.109","68.2","41.0","268.0","10.25","50.09","667.0","300","127","92","24","1","0.0","57.200000000000045","2.109","0","0","0","0.0",
"854261532","626393140","159531563","98.62","57.39999999999998","2.071","68.2","40.75","268.0","10.15","50.0","667.0","300","127","91","24","1","0.5","57.39999999999998","2.071","0","0","0","0.0",
"854261533","626392931","159531928","101.44","57.60000000000002","2.071","67.2","40.5","264.0","10.03","50.0","664.0","300","127","92","24","1","0.0","57.60000000000002","2.071","0","0","0","0.0",
"854261534","626392691","159532453","105.17","57.799999999999955","2.267","67.2","40.25","261.0","10.03","50.0","668.0","300","127","92","24","1","0.0","57.799999999999955","2.267","0","0","0","0.0",
"854261535","626392510","159532872","108.05","58.0","2.379","67.2","40.25","263.0","9.84","50.0","689.0","300","128","91","24","1","0.5","58.0","2.379","0","0","0","0.0",
"854261536","626392293","159533268","110.68","58.0","2.501","68.2","39.75","261.0","9.56","50.0","794.0","300","129","91","24","1","0.5","58.0","2.501","0","0","0","0.0",
"854261537","626392129","159533505","112.54","58.0","2.501","68.2","39.75","261.0","9.25","50.0","795.0","300","129","91","24","1","0.5","58.0","2.501","0","0","0","0.0",
"854261538","626391926","159533787","115.01","57.799999999999955","2.295","68.2","40.0","264.0","9.06","49.87","790.0","300","129","91","24","1","0.5","57.799999999999955","2.295","0","0","0","0.0",
"854261539","626391684","159534222","118.35","57.799999999999955","2.137","68.2","40.5","265.0","9.06","49.78","747.0","300","129","91","24","1","0.5","57.799999999999955","2.137","0","0","0","0.0",
"854261540","626391334","159534985","123.73","57.799999999999955","2.137","67.2","40.75","265.0","9.06","49.65","737.0","300","131","93","24","1","0.0","57.799999999999955","2.137","0","0","0","0.0",
"854261541","626391020","159535692","128.7","57.60000000000002","2.333","67.2","40.75","265.0","8.96","49.56","746.0","300","131","92","24","1","0.5","57.60000000000002","2.333","0","0","0","0.0",
"854261542","626390712","159536378","133.52","57.60000000000002","2.333","67.2","40.25","265.0","8.96","49.56","755.0","300","131","91","24","1","0.5","57.60000000000002","2.333","0","0","0","0.0",
"854261543","626390263","159537386","140.63","57.60000000000002","2.333","68.2","40.0","264.0","8.87","49.56","762.0","300","131","91","24","1","0.0","57.60000000000002","2.333","0","0","0","0.0",
"854261544","626389931","159538190","146.15","57.39999999999998","2.333","68.2","40.0","264.0","8.68","49.68","872.0","300","132","91","23","1","0.0","57.39999999999998","2.333","0","0","0","0.0",
"854261545","626389563","159539118","152.44","57.39999999999998","2.594","68.2","40.0","265.0","8.46","49.78","862.0","300","133","90","23","1","0.5","57.39999999999998","2.594","0","0","0","0.0",
"854261546","626389372","159539583","155.63","57.200000000000045","2.594","69.2","40.0","266.0","8.28","49.87","869.0","300","133","90","23","1","0.5","57.200000000000045","2.594","0","0","0","0.0",
"854261547","626389218","159539931","158.07","57.200000000000045","2.65","70.2","40.0","266.0","8.09","49.87","871.0","300","133","90","23","1","0.5","57.200000000000045","2.65","0","0","0","0.0",
"854261548","626389091","159540353","160.75","57.200000000000045","2.585","70.2","40.0","267.0","8.09","49.87","874.0","300","133","90","23","1","0.0","57.200000000000045","2.585","0","0","0","0.0",
"854261549","626388816","159541291","166.62","57.200000000000045","2.454","71.2","40.25","270.0","8.09","49.87","879.0","300","134","89","23","1","0.5","57.200000000000045","2.454","0","0","0","0.0",
"854261550","626388641","159542134","171.65","57.0","2.323","72.2","40.75","274.0","8.18","49.87","875.0","300","134","88","23","1","0.5","57.0","2.323","0","0","0","0.0",
"854261551","626388589","159542609","174.4","57.200000000000045","2.323","73.0","40.75","282.0","8.18","49.87","879.0","300","134","86","23","1","0.0","57.200000000000045","2.323","0","0","0","0.0",
"854261552","626388510","159543129","176.81","57.0","2.463","69.2","41.0","291.0","8.09","49.87","882.0","300","134","75","23","1","0.0","57.0","2.463","0","0","0","0.0",
"854261554","626388622","159543289","178.18","57.200000000000045","2.463","56.5","41.0","308.0","7.21","50.0","1094.0","300","133","72","23","1","0.0","57.200000000000045","2.463","0","0","0","0.0",
"854261555","626388710","159543384","179.16","57.200000000000045","2.202","55.5","41.25","339.0","6.81","50.0","975.0","300","134","69","23","1","0.0","57.200000000000045","2.202","0","0","0","0.0",
"854261556","626388632","159543525","179.83","57.39999999999998","1.474","53.5","41.5","351.0","6.71","50.0","975.0","300","133","72","23","1","0.5","57.39999999999998","1.474","0","0","0","0.0",
"854261557","626388642","159543574","180.1","57.39999999999998","1.017","54.5","40.5","374.0","6.43","50.0","1064.0","300","133","63","23","1","0.0","57.39999999999998","1.017","0","0","0","0.0",
