record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[SPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"852194148","626400016","159521372","0.74","41.200000000000045","0.737","47.7","39.5","601.0","0.0","0.0","0.0","300","69","39","25","1","0.5","41.200000000000045","0.737","0","0","0","0.0","65521","0","0.0",
"852194149","626400490","159520887","0.74","53.799999999999955","0.0","47.7","39.5","601.0","0.0","54.56","0.0","300","69","39","25","1","0.5","53.799999999999955","0.0","0","0","0","0.0","65521","0","0.0",
"852194150","626400725","159520879","0.74","53.799999999999955","0.0","77.0","39.25","269.0","0.0","56.96","0.0","300","69","85","25","1","0.5","53.799999999999955","0.0","0","0","0","0.0","65521","0","0.0",
"852194151","626400998","159521192","0.74","53.60000000000002","0.0","76.0","38.75","257.0","0.0","55.9","0.0","300","69","90","25","1","0.5","53.60000000000002","0.0","0","0","0","0.0","65521","0","0.0",
"852194152","626401085","159521503","2.59","53.60000000000002","0.0","79.0","38.75","256.0","0.0","54.09","0.0","300","69","91","25","1","0.0","53.60000000000002","0.0","0","0","0","0.0","65521","0","0.0",
"852194153","626400947","159521777","4.61","53.60000000000002","1.54","78.0","38.5","254.0","0.96","53.21","1027.0","300","70","91","25","1","0.5","53.60000000000002","1.54","0","0","0","0.0","65521","0","0.0",
"852194154","626400655","159521909","7.3","53.39999999999998","2.062","79.0","38.5","256.0","4.28","52.34","987.0","300","71","90","25","1","0.5","53.39999999999998","2.062","0","0","0","0.0","65521","0","0.0",
"852194155","626399995","159521444","12.36","53.200000000000045","2.37","79.0","38.5","258.0","6.81","51.71","878.0","300","74","89","25","1","0.0","53.200000000000045","2.37","0","0","0","0.0","65521","0","0.0",
"852194156","626399729","159521728","15.19","53.799999999999955","2.379","81.0","39.0","262.0","8.0","51.43","855.0","300","76","88","25","1","0.5","53.799999999999955","2.379","0","0","0","0.0","65521","0","0.0",
"852194157","626399590","159522138","17.84","53.60000000000002","2.454","81.0","39.0","261.0","8.87","50.96","816.0","300","80","89","25","1","0.0","53.60000000000002","2.454","0","0","0","0.0","65521","0","0.0",
"852194158","626399418","159522547","20.65","53.60000000000002","2.594","80.0","38.75","260.0","8.96","50.87","818.0","300","84","89","25","1","0.0","53.60000000000002","2.594","0","0","0","0.0","65521","0","0.0",
"852194159","626399224","159522907","23.33","53.799999999999955","2.613","78.0","38.75","257.0","9.06","50.59","816.0","300","88","90","25","1","0.0","53.799999999999955","2.613","0","0","0","0.0","65521","0","0.0",
"852194160","626399014","159523243","26.05","54.0","2.613","79.0","38.25","256.0","9.15","50.59","822.0","300","91","89","25","1","0.5","54.0","2.613","0","0","0","0.0","0","0","0.0",
"852194161","626398805","159523583","28.78","54.0","2.613","79.0","38.25","256.0","9.15","50.5","837.0","300","94","89","25","1","0.5","54.0","2.613","0","0","0","0.0","0","0","0.0",
"852194162","626398590","159523934","31.61","54.200000000000045","2.575","79.0","38.5","260.0","9.06","50.4","844.0","300","95","88","25","1","0.5","54.200000000000045","2.575","0","0","0","0.0","0","0","0.0",
"852194163","626398369","159524295","34.52","54.0","2.585","78.0","38.75","263.0","8.96","50.4","849.0","300","97","88","25","1","0.5","54.0","2.585","276","88","266","6.0","0","75","12.625",
"852194164","626398149","159524637","37.34","54.0","2.585","78.0","39.25","264.0","8.96","50.28","849.0","300","102","88","25","1","0.5","54.0","2.585","276","88","266","5.875","0","75","12.375",
"852194165","626397970","159524966","39.85","54.0","2.622","79.0","39.25","266.0","8.96","50.18","854.0","300","106","88","25","1","0.5","54.0","2.622","275","88","264","5.875","65521","75","12.5",
"852194166","626397787","159525303","42.41","54.200000000000045","2.622","79.0","39.25","266.0","8.87","50.06","864.0","300","109","88","25","1","0.5","54.200000000000045","2.622","275","88","264","5.875","65521","75","12.375",
"852194167","626397565","159525661","45.32","54.0","2.585","78.0","39.25","265.0","8.78","49.93","864.0","300","109","88","25","1","0.5","54.0","2.585","282","88","264","5.875","65521","75","12.5",
"852194168","626397304","159526017","48.49","54.0","2.585","77.0","39.25","266.0","8.78","49.93","862.0","300","109","88","25","1","0.5","54.0","2.585","283","87","258","6.125","65521","77","12.375",
"852194169","626397060","159526331","51.37","53.799999999999955","2.603","76.0","39.5","268.0","8.68","49.84","855.0","300","110","89","25","1","0.0","53.799999999999955","2.603","279","88","268","6.125","65521","76","12.625",
