"","avgSpeedMoving","avgPowerMoving","weight","SP","runningE"
"1",10.6569229168112,245.714696223317,86,2.85714763050369,197.98
"2",11.3250246655309,239.900906111432,85.6,2.80258067887187,182.75
"3",11.3741394331329,246.79274437353,85,2.9034440514533,188.5
"4",10.8179236737376,248.537270435722,86,2.88996826088049,197.28
"5",11.356992481203,253.984544695071,85.6,2.96710916699849,192.93
"6",10.7135054652372,235.056579667823,85,2.7653715255038,190.61
"7",10.9540676805261,246.842658196922,86,2.87026346740606,193.5
"8",11.4251973969631,260.565292841649,85.6,3.04398706590711,196.75
"9",11.0197315208156,239.808123725357,85,2.82127204382773,189.06
"10",10.7219150707744,243.962947543714,86,2.83677845981062,195.38
"11",10.7884978256157,243.92536951781,85.6,2.84959543829217,195.05
"12",11.6434538338381,259.804630381803,85,3.05652506331533,193.85
"13",11.0582174840085,251.746268656716,86,2.92728219368275,195.48
"14",10.8204156032917,247.512168141593,85.6,2.89149729137375,197.34
