"session","time","distance","heart.rate","speed","power","pace"
4,2017-06-11 08:27:45,4476.9,145,10.0800000000007,232,5.95238095238057
4,2017-06-11 08:27:46,4479.7,144,6.48000000000065,230,9.25925925925832
4,2017-06-11 08:27:47,4481.5,145,7.91999999999934,230,7.5757575757582
4,2017-06-11 08:27:48,4483.7,145,5.76000000000131,228,10.4166666666643
4,2017-06-11 08:27:49,4485.3,145,6.48000000000065,235,9.25925925925832
4,2017-06-11 08:27:50,4487.1,145,7.55999999999803,233,7.93650793651
4,2017-06-11 08:27:51,4489.2,145,8.64000000000197,233,6.94444444444287
4,2017-06-11 08:27:52,4491.6,145,12.2399999999987,233,4.90196078431425
4,2017-06-11 08:27:53,4495,144,15.8399999999987,231,3.7878787878791
4,2017-06-11 08:27:54,4499.4,145,9,231,6.66666666666667
4,2017-06-11 08:27:55,4501.9,145,9.36000000000131,233,6.41025641025551
4,2017-06-11 08:27:56,4504.5,145,3.6,236,16.6666666666667
4,2017-06-11 08:27:57,4505.5,144,13.3199999999993,236,4.50450450450472
4,2017-06-11 08:27:58,4509.2,145,8.64000000000197,234,6.94444444444287
4,2017-06-11 08:27:59,4511.6,145,4.31999999999934,231,13.888888888891
4,2017-06-11 08:28:00,4512.8,145,14.4,226,4.16666666666667
4,2017-06-11 08:28:01,4516.8,144,12.6,223,4.76190476190476
4,2017-06-11 08:28:02,4520.3,144,20.8800000000007,226,2.87356321839071
4,2017-06-11 08:28:03,4526.1,144,15.6599999999997,228,3.83141762452115
4,2017-06-11 08:28:05,4534.8,144,8.28000000000065,226,7.24637681159363
4,2017-06-11 08:28:06,4537.1,143,14.0399999999987,234,4.27350427350467
4,2017-06-11 08:28:07,4541,144,10.0800000000007,231,5.95238095238057
4,2017-06-11 08:28:08,4543.8,144,10.8,229,5.55555555555556
4,2017-06-11 08:28:09,4546.8,143,17.2800000000007,229,3.47222222222209
4,2017-06-11 08:28:10,4551.6,144,7.55999999999803,233,7.93650793651
4,2017-06-11 08:28:11,4553.7,144,8.28000000000065,236,7.24637681159363
4,2017-06-11 08:28:12,4556,144,7.56000000000131,238,7.93650793650656
4,2017-06-11 08:28:13,4558.1,144,18,235,3.33333333333333
4,2017-06-11 08:28:14,4563.1,144,12.2399999999987,233,4.90196078431425
4,2017-06-11 08:28:15,4566.5,144,9.36000000000131,229,6.41025641025551
4,2017-06-11 08:28:16,4569.1,144,10.0799999999974,231,5.9523809523825
4,2017-06-11 08:28:17,4571.9,144,7.2,235,8.33333333333333
4,2017-06-11 08:28:18,4573.9,144,9,235,6.66666666666667
4,2017-06-11 08:28:19,4576.4,145,11.8800000000007,233,5.05050505050477
4,2017-06-11 08:28:20,4579.7,143,9.71999999999934,232,6.17283950617326
4,2017-06-11 08:28:21,4582.4,144,9.36000000000131,232,6.41025641025551
4,2017-06-11 08:28:22,4585,143,8.63999999999869,232,6.9444444444455
4,2017-06-11 08:28:23,4587.4,143,11.8800000000007,232,5.05050505050477
4,2017-06-11 08:28:24,4590.7,143,11.8800000000007,229,5.05050505050477
4,2017-06-11 08:28:25,4594,143,9.71999999999934,226,6.17283950617326
4,2017-06-11 08:28:26,4596.7,141,9.71999999999934,224,6.17283950617326
4,2017-06-11 08:28:27,4599.4,141,11.5200000000026,228,5.20833333333215
4,2017-06-11 08:28:28,4602.6,142,9.35999999999803,224,6.41025641025776
4,2017-06-11 08:28:29,4605.2,141,10.440000000002,224,5.74712643678053
4,2017-06-11 08:28:30,4608.1,141,13.3199999999993,230,4.50450450450472
4,2017-06-11 08:28:31,4611.8,142,9.35999999999803,230,6.41025641025776
4,2017-06-11 08:28:32,4614.4,142,10.0800000000007,230,5.95238095238057
4,2017-06-11 08:28:33,4617.2,142,11.8800000000007,230,5.05050505050477
4,2017-06-11 08:28:34,4620.5,142,8.63999999999869,230,6.9444444444455
4,2017-06-11 08:28:35,4622.9,141,8.64000000000197,230,6.94444444444287
4,2017-06-11 08:28:36,4625.3,143,9.35999999999803,230,6.41025641025776
4,2017-06-11 08:28:37,4627.9,143,7.92000000000262,230,7.57575757575507
4,2017-06-11 08:28:38,4630.1,143,7.2,230,8.33333333333333
4,2017-06-11 08:28:39,4632.1,142,7.2,230,8.33333333333333
4,2017-06-11 08:28:40,4634.1,143,9,230,6.66666666666667
4,2017-06-11 08:28:41,4636.6,144,8.27999999999738,230,7.2463768115965
4,2017-06-11 08:28:42,4638.9,144,7.92000000000262,230,7.57575757575507
4,2017-06-11 08:28:43,4641.1,144,6.83999999999869,230,8.77192982456308
4,2017-06-11 08:28:44,4643,144,5.03999999999869,230,11.904761904765
4,2017-06-11 08:28:45,4644.4,145,9.36000000000131,230,6.41025641025551
4,2017-06-11 08:28:46,4647,145,7.2,230,8.33333333333333
4,2017-06-11 08:28:47,4649,145,7.56000000000131,230,7.93650793650656
4,2017-06-11 08:28:48,4651.1,145,5.4,230,11.1111111111111
4,2017-06-11 08:28:49,4652.6,145,3.23999999999869,0,18.518518518526
4,2017-06-11 08:28:50,4653.5,145,6.83999999999869,0,8.77192982456308
4,2017-06-11 08:28:51,4655.4,145,1.8,0,33.3333333333333
4,2017-06-11 08:28:52,4655.9,145,8.28000000000065,0,7.24637681159363
4,2017-06-11 08:28:53,4658.2,145,6.84000000000196,238,8.77192982455888
4,2017-06-11 08:28:54,4660.1,144,5.4,237,11.1111111111111
4,2017-06-11 08:28:55,4661.6,144,6.11999999999935,230,9.8039215686285
4,2017-06-11 08:28:56,4663.3,144,5.03999999999869,238,11.904761904765
4,2017-06-11 08:28:57,4664.7,144,4.31999999999934,234,13.888888888891
4,2017-06-11 08:28:58,4665.9,144,6.48000000000065,234,9.25925925925832
4,2017-06-11 08:28:59,4667.7,143,17.2800000000007,231,3.47222222222209
4,2017-06-11 08:29:00,4672.5,143,10.0800000000007,233,5.95238095238057
4,2017-06-11 08:29:01,4675.3,143,11.5199999999993,229,5.20833333333363
4,2017-06-11 08:29:02,4678.5,144,16.5600000000013,229,3.62318840579681
4,2017-06-11 08:29:03,4683.1,144,14.9399999999987,227,4.01606425702846
4,2017-06-11 08:29:05,4691.4,143,26.640000000002,230,2.25225225225209
4,2017-06-11 08:29:06,4698.8,144,15.8399999999987,231,3.7878787878791
4,2017-06-11 08:29:07,4703.2,143,10.8,232,5.55555555555556
4,2017-06-11 08:29:08,4706.2,143,34.5600000000013,235,1.73611111111105
4,2017-06-11 08:29:09,4715.8,142,15.8399999999987,235,3.7878787878791
4,2017-06-11 08:29:10,4720.2,142,15.4800000000007,234,3.8759689922479
4,2017-06-11 08:29:11,4724.5,142,11.1600000000013,234,5.37634408602087
4,2017-06-11 08:29:12,4727.6,143,17.2799999999974,231,3.47222222222275
4,2017-06-11 08:29:13,4732.4,143,9,230,6.66666666666667
4,2017-06-11 08:29:14,4734.9,143,11.5200000000026,229,5.20833333333215
4,2017-06-11 08:29:15,4738.1,142,18,230,3.33333333333333
4,2017-06-11 08:29:16,4743.1,143,10.8,232,5.55555555555556
4,2017-06-11 08:29:17,4746.1,142,9,227,6.66666666666667
4,2017-06-11 08:29:18,4748.6,143,9.35999999999803,227,6.41025641025776
4,2017-06-11 08:29:19,4751.2,143,9.36000000000131,223,6.41025641025551
4,2017-06-11 08:29:20,4753.8,143,6.83999999999869,230,8.77192982456308
4,2017-06-11 08:29:21,4755.7,142,7.91999999999934,233,7.5757575757582
4,2017-06-11 08:29:22,4757.9,142,5.76000000000131,230,10.4166666666643
4,2017-06-11 08:29:23,4759.5,142,7.56000000000131,222,7.93650793650656
4,2017-06-11 08:29:24,4761.6,143,7.2,223,8.33333333333333
4,2017-06-11 08:29:25,4763.6,144,8.27999999999738,225,7.2463768115965
4,2017-06-11 08:29:26,4765.9,143,7.56000000000131,222,7.93650793650656
4,2017-06-11 08:29:27,4768,144,5.03999999999869,220,11.904761904765
4,2017-06-11 08:29:28,4769.4,143,5.4,221,11.1111111111111
4,2017-06-11 08:29:29,4770.9,143,5.04000000000196,224,11.9047619047573
4,2017-06-11 08:29:30,4772.3,143,4.68000000000065,221,12.820512820511
4,2017-06-11 08:29:31,4773.6,143,5.75999999999804,218,10.4166666666702
4,2017-06-11 08:29:32,4775.2,144,7.2,222,8.33333333333333
4,2017-06-11 08:29:33,4777.2,143,5.04000000000196,221,11.9047619047573
4,2017-06-11 08:29:34,4778.6,143,4.67999999999738,222,12.82051282052
4,2017-06-11 08:29:35,4779.9,143,7.92000000000262,230,7.57575757575507
4,2017-06-11 08:29:36,4782.1,143,12.2399999999987,224,4.90196078431425
4,2017-06-11 08:29:37,4785.5,143,13.3199999999993,229,4.50450450450472
4,2017-06-11 08:29:38,4789.2,144,10.8,225,5.55555555555556
4,2017-06-11 08:29:39,4792.2,144,7.56000000000131,226,7.93650793650656
4,2017-06-11 08:29:40,4794.3,144,7.55999999999803,228,7.93650793651
4,2017-06-11 08:29:41,4796.4,144,11.8800000000007,224,5.05050505050477
4,2017-06-11 08:29:42,4799.7,144,10.0800000000007,224,5.95238095238057
4,2017-06-11 08:29:43,4802.5,144,10.8,227,5.55555555555556
4,2017-06-11 08:29:44,4805.5,143,8.28000000000065,225,7.24637681159363
4,2017-06-11 08:29:45,4807.8,143,9.71999999999934,222,6.17283950617326
4,2017-06-11 08:29:46,4810.5,143,6.48000000000065,224,9.25925925925832
4,2017-06-11 08:29:47,4812.3,142,14.0399999999987,224,4.27350427350467
4,2017-06-11 08:29:48,4816.2,143,7.2,223,8.33333333333333
