"","Dates","Value","Type","Unit","Measure"
"100",2017-06-07 06:13:17,9539,"FatMass",-3,9.539
"101",2017-06-06 05:59:57,86519,"Weight",-3,86.519
"102",2017-06-06 05:59:57,76784,"FatFree",-3,76.784
"103",2017-06-06 05:59:57,11252,"FatRatio",-3,11.252
"104",2017-06-06 05:59:57,9735,"FatMass",-3,9.735
"105",2017-06-05 06:52:14,86408,"Weight",-3,86.408
"106",2017-06-05 06:52:14,76836,"FatFree",-3,76.836
"107",2017-06-05 06:52:14,11078,"FatRatio",-3,11.078
"108",2017-06-05 06:52:14,9572,"FatMass",-3,9.572
"109",2017-06-04 06:20:28,86623,"Weight",-3,86.623
"110",2017-06-04 06:20:28,77092,"FatFree",-3,77.092
"111",2017-06-04 06:20:28,11003,"FatRatio",-3,11.003
"112",2017-06-04 06:20:28,9531,"FatMass",-3,9.531
"113",2017-06-03 05:28:38,87438,"Weight",-3,87.438
"114",2017-06-03 05:28:38,78691,"FatFree",-3,78.691
"115",2017-06-03 05:28:38,10004,"FatRatio",-3,10.004
"116",2017-06-03 05:28:38,8747,"FatMass",-3,8.747
"117",2017-06-02 06:22:42,86579,"Weight",-3,86.579
"118",2017-06-02 06:22:42,78107,"FatFree",-3,78.107
"119",2017-06-02 06:22:42,9786,"FatRatio",-3,9.786
"120",2017-06-02 06:22:42,8472,"FatMass",-3,8.472
"121",2017-06-01 06:16:23,86177,"Weight",-3,86.177
"122",2017-06-01 06:16:23,77086,"FatFree",-3,77.086
"123",2017-06-01 06:16:23,10549,"FatRatio",-3,10.549
"124",2017-06-01 06:16:23,9091,"FatMass",-3,9.091
"125",2017-05-31 06:11:54,86326,"Weight",-3,86.326
"126",2017-05-31 06:11:54,76695,"FatFree",-3,76.695
"127",2017-05-31 06:11:54,11157,"FatRatio",-3,11.157
"128",2017-05-31 06:11:54,9631,"FatMass",-3,9.631
"129",2017-05-30 05:41:53,86412,"Weight",-3,86.412
"130",2017-05-30 05:41:53,78178,"FatFree",-3,78.178
"131",2017-05-30 05:41:53,9529,"FatRatio",-3,9.529
"132",2017-05-30 05:41:53,8234,"FatMass",-3,8.234
"133",2017-05-29 06:16:07,86561,"Weight",-3,86.561
"134",2017-05-29 06:16:07,77477,"FatFree",-3,77.477
"135",2017-05-29 06:16:07,10495,"FatRatio",-3,10.495
"136",2017-05-29 06:16:07,9084,"FatMass",-3,9.084
"137",2017-05-28 06:25:09,86674,"Weight",-3,86.674
"138",2017-05-28 06:25:09,78466,"FatFree",-3,78.466
"139",2017-05-28 06:25:09,9470,"FatRatio",-3,9.47
"140",2017-05-28 06:25:09,8208,"FatMass",-3,8.208
"141",2017-05-27 06:07:48,86763,"Weight",-3,86.763
"142",2017-05-27 06:07:48,77990,"FatFree",-3,77.99
"143",2017-05-27 06:07:48,10111,"FatRatio",-3,10.111
"144",2017-05-27 06:07:48,8773,"FatMass",-3,8.773
"145",2017-05-26 06:39:58,86482,"Weight",-3,86.482
"146",2017-05-26 06:39:58,77077,"FatFree",-3,77.077
"147",2017-05-26 06:39:58,10875,"FatRatio",-3,10.875
"148",2017-05-26 06:39:58,9405,"FatMass",-3,9.405
"149",2017-05-25 07:02:03,86850,"Weight",-3,86.85
"150",2017-05-25 07:02:03,77824,"FatFree",-3,77.824
"151",2017-05-25 07:02:03,10393,"FatRatio",-3,10.393
"152",2017-05-25 07:02:03,9026,"FatMass",-3,9.026
"153",2017-05-24 05:45:29,87022,"Weight",-3,87.022
"154",2017-05-24 05:45:29,77750,"FatFree",-3,77.75
"155",2017-05-24 05:45:29,10655,"FatRatio",-3,10.655
"156",2017-05-24 05:45:29,9272,"FatMass",-3,9.272
"157",2017-05-23 06:02:52,87068,"Weight",-3,87.068
"158",2017-05-23 06:02:52,77614,"FatFree",-3,77.614
"159",2017-05-23 06:02:52,10858,"FatRatio",-3,10.858
"160",2017-05-23 06:02:52,9454,"FatMass",-3,9.454
"161",2017-05-22 06:12:21,86814,"Weight",-3,86.814
"162",2017-05-22 06:12:21,77285,"FatFree",-3,77.285
"163",2017-05-22 06:12:21,10976,"FatRatio",-3,10.976
"164",2017-05-22 06:12:21,9529,"FatMass",-3,9.529
"165",2017-05-21 05:32:34,87444,"Weight",-3,87.444
"166",2017-05-21 05:32:34,77792,"FatFree",-3,77.792
"167",2017-05-21 05:32:34,11038,"FatRatio",-3,11.038
"168",2017-05-21 05:32:34,9652,"FatMass",-3,9.652
"169",2017-05-20 05:28:31,88148,"Weight",-3,88.148
"170",2017-05-20 05:28:31,79365,"FatFree",-3,79.365
"171",2017-05-20 05:28:31,9964,"FatRatio",-3,9.964
"172",2017-05-20 05:28:31,8783,"FatMass",-3,8.783
"173",2017-05-19 05:53:51,87709,"Weight",-3,87.709
"174",2017-05-19 05:53:51,78718,"FatFree",-3,78.718
"175",2017-05-19 05:53:51,10251,"FatRatio",-3,10.251
"176",2017-05-19 05:53:51,8991,"FatMass",-3,8.991
"177",2017-05-18 05:24:37,87510,"Weight",-3,87.51
"178",2017-05-18 05:24:37,78195,"FatFree",-3,78.195
"179",2017-05-18 05:24:37,10645,"FatRatio",-3,10.645
"180",2017-05-18 05:24:37,9315,"FatMass",-3,9.315
"181",2017-05-17 05:38:51,86606,"Weight",-3,86.606
"182",2017-05-17 05:38:51,76824,"FatFree",-3,76.824
"183",2017-05-17 05:38:51,11294,"FatRatio",-3,11.294
"184",2017-05-17 05:38:51,9782,"FatMass",-3,9.782
"185",2017-05-16 04:58:09,86838,"Weight",-3,86.838
"186",2017-05-16 04:58:09,77140,"FatFree",-3,77.14
"187",2017-05-16 04:58:09,11168,"FatRatio",-3,11.168
"188",2017-05-16 04:58:09,9698,"FatMass",-3,9.698
"189",2017-05-15 06:04:43,87155,"Weight",-3,87.155
"190",2017-05-15 06:04:43,77392,"FatFree",-3,77.392
"191",2017-05-15 06:04:43,11202,"FatRatio",-3,11.202
"192",2017-05-15 06:04:43,9763,"FatMass",-3,9.763
"193",2017-05-14 05:45:34,86797,"Weight",-3,86.797
"194",2017-05-14 05:45:34,77017,"FatFree",-3,77.017
"195",2017-05-14 05:45:34,11268,"FatRatio",-3,11.268
"196",2017-05-14 05:45:34,9780,"FatMass",-3,9.78
"197",2017-05-13 05:07:01,87147,"Weight",-3,87.147
"198",2017-05-13 05:07:01,77704,"FatFree",-3,77.704
"199",2017-05-13 05:07:01,10835,"FatRatio",-3,10.835
"200",2017-05-13 05:07:01,9443,"FatMass",-3,9.443
"201",2017-05-12 05:48:52,87820,"Weight",-3,87.82
"202",2017-05-12 05:48:52,78826,"FatFree",-3,78.826
"203",2017-05-12 05:48:52,10242,"FatRatio",-3,10.242
"204",2017-05-12 05:48:52,8994,"FatMass",-3,8.994
"205",2017-05-11 05:29:09,86777,"Weight",-3,86.777
"206",2017-05-11 05:29:09,77632,"FatFree",-3,77.632
"207",2017-05-11 05:29:09,10538,"FatRatio",-3,10.538
"208",2017-05-11 05:29:09,9145,"FatMass",-3,9.145
"209",2017-05-10 06:08:02,86414,"Weight",-3,86.414
"210",2017-05-10 06:08:02,77354,"FatFree",-3,77.354
"211",2017-05-10 06:08:02,10484,"FatRatio",-3,10.484
"212",2017-05-10 06:08:02,9060,"FatMass",-3,9.06
"213",2017-05-09 06:16:24,86743,"Weight",-3,86.743
"214",2017-05-09 06:16:24,77668,"FatFree",-3,77.668
"215",2017-05-09 06:16:24,10462,"FatRatio",-3,10.462
"216",2017-05-09 06:16:24,9075,"FatMass",-3,9.075
"217",2017-05-08 06:18:18,86839,"Weight",-3,86.839
"218",2017-05-08 06:18:18,77088,"FatFree",-3,77.088
"219",2017-05-08 06:18:18,11229,"FatRatio",-3,11.229
