record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"864798045","626401143","159519491","16.99","89.20000000000005","0.0","6.7","41.0","398.0","0.87","35.93","206.0","300","79","75","28","1","0.5","89.20000000000005","0.0",
"864798046","626401143","159519491","18.45","89.39999999999998","1.456","70.2","46.0","476.0","3.0","35.93","1241.0","300","78","53","28","1","0.5","89.39999999999998","1.456","0","0","0","0.0",
"864798047","626400375","159518978","20.27","89.39999999999998","1.829","75.0","40.25","234.0","3.59","36.46","1241.0","300","78","92","28","1","0.0","89.39999999999998","1.829","0","0","0","0.0",
"864798048","626399709","159518176","22.11","89.39999999999998","1.829","74.0","39.0","242.0","3.9","38.03","1241.0","300","80","94","28","1","0.0","89.39999999999998","1.829","0","0","0","0.0",
"864798049","626399577","159517743","22.45","89.39999999999998","2.93","75.0","38.75","248.0","4.37","41.93","1241.0","300","81","92","28","1","0.5","89.39999999999998","2.93","0","0","0","0.0",
"864798051","626399588","159517057","24.98","89.39999999999998","2.771","77.0","38.5","249.0","5.46","44.62","719.0","300","81","91","28","1","0.5","89.39999999999998","2.771","0","0","0","0.0","65472","0","0.0",
"864798052","626399613","159516805","25.57","89.39999999999998","2.734","76.0","38.75","250.0","7.5","45.0","669.0","300","86","92","28","1","0.0","89.39999999999998","2.734","0","0","0","0.0","65472","0","0.0",
"864798053","626399623","159516586","26.1","89.39999999999998","2.697","78.0","38.25","250.0","8.78","45.4","836.0","300","88","92","28","1","0.0","89.39999999999998","2.697","246","91","124","0.0","65473","41","0.0",
"864798054","626399604","159516363","26.68","89.20000000000005","2.557","80.0","38.25","250.0","9.06","45.62","822.0","300","92","91","28","1","0.5","89.20000000000005","2.557","277","92","248","0.125","65472","41","0.0",
"864798055","626399535","159516228","27.66","89.20000000000005","2.267","80.0","38.0","250.0","9.15","46.12","825.0","300","95","91","28","1","0.0","89.20000000000005","2.267","269","91","248","5.875","65472","76","12.375",
"864798056","626399494","159516185","27.66","89.20000000000005","2.034","79.0","38.25","250.0","9.37","46.4","800.0","300","98","91","28","1","0.0","89.20000000000005","2.034","264","91","250","5.875","65473","76","12.5",
"864798057","626399521","159516147","27.66","89.0","1.764","79.0","38.25","253.0","9.56","46.62","797.0","300","101","91","28","1","0.0","89.0","1.764","262","91","258","5.875","0","76","13.0",
"864798058","626399699","159516156","29.24","89.0","1.764","79.0","39.0","261.0","10.34","46.96","641.0","300","103","89","28","1","0.0","89.0","1.764","256","91","256","5.875","0","76","12.375",
"864798059","626399961","159516167","31.66","89.0","2.09","81.0","38.75","262.0","11.5","47.09","618.0","300","105","88","28","1","0.0","89.0","2.09","262","89","256","5.75","65473","75","12.625",
"864798060","626400240","159516210","34.23","89.20000000000005","2.426","82.0","39.25","266.0","12.78","47.46","610.0","300","112","87","28","1","0.5","89.20000000000005","2.426","262","86","256","5.75","65473","75","12.5",
"864798061","626400607","159516290","37.54","89.20000000000005","2.482","82.0","39.0","265.0","12.59","47.56","617.0","300","116","87","28","1","0.5","89.20000000000005","2.482","259","87","264","6.25","0","78","12.125",
"864798062","626400894","159516381","40.1","89.39999999999998","2.519","82.0","39.0","264.0","12.28","47.84","649.0","300","116","88","28","1","0.0","89.39999999999998","2.519","259","87","264","6.25","0","78","12.125",
"864798063","626401200","159516394","42.96","89.60000000000002","2.547","80.0","39.25","262.0","12.28","47.84","652.0","300","117","89","28","1","0.5","89.60000000000002","2.547","263","88","264","6.25","65473","77","12.125",
"864798064","626401530","159516323","46.06","89.60000000000002","2.547","77.0","39.5","266.0","11.4","48.21","698.0","300","118","89","28","1","0.5","89.60000000000002","2.547","261","91","264","6.0","65473","75","12.125",
"864798065","626401794","159516178","48.65","89.60000000000002","2.585","77.0","39.25","264.0","11.21","48.21","712.0","300","119","89","28","1","0.5","89.60000000000002","2.585","283","89","256","6.0","65473","75","12.5",
"864798066","626402130","159516005","51.94","89.60000000000002","2.641","77.0","39.25","262.0","10.81","48.43","739.0","300","119","90","28","1","0.0","89.60000000000002","2.641","283","90","256","6.0","65473","76","11.875",
"864798067","626402384","159515834","54.5","89.60000000000002","2.613","77.0","39.0","260.0","10.71","48.43","748.0","300","120","90","28","1","0.0","89.60000000000002","2.613","270","90","260","5.875","65473","75","12.0",
"864798068","626402647","159515667","57.12","89.60000000000002","2.613","77.0","39.0","260.0","10.25","48.53","774.0","300","121","90","28","1","0.5","89.60000000000002","2.613","270","90","260","6.0","65473","76","11.75",
"864798069","626402887","159515461","59.65","89.39999999999998","2.603","76.0","39.0","259.0","10.03","48.71","788.0","300","122","90","28","1","0.0","89.39999999999998","2.603","254","90","258","5.75","65473","74","12.375",
"864798070","626403087","159515207","62.0","89.39999999999998","2.547","76.0","38.75","258.0","9.84","48.81","792.0","300","123","90","28","1","0.0","89.39999999999998","2.547","254","90","258","5.75","65473","74","12.875",
"864798071","626403283","159514931","64.39","89.39999999999998","2.482","77.0","38.25","256.0","9.75","48.81","796.0","300","124","90","28","1","0.0","89.39999999999998","2.482","265","90","260","5.75","65473","75","12.625",
"864798072","626403478","159514648","66.81","89.39999999999998","2.426","77.0","38.0","254.0","9.75","48.81","791.0","300","125","90","28","1","0.0","89.39999999999998","2.426","255","90","264","5.75","65473","74","12.625",
"864798073","626403679","159514331","69.41","89.39999999999998","2.426","75.0","38.5","253.0","9.65","48.9","779.0","300","126","91","28","1","0.0","89.39999999999998","2.426","255","89","264","5.75","65473","74","12.625",
"864798074","626403874","159513987","72.07","89.39999999999998","2.426","75.0","38.25","250.0","9.65","48.9","764.0","300","127","92","28","1","0.0","89.39999999999998","2.426","249","90","264","5.75","65473","74","12.625",
"864798075","626404084","159513642","74.83","89.20000000000005","2.463","74.0","38.25","249.0","9.56","49.0","757.0","300","128","92","28","1","0.5","89.20000000000005","2.463","248","91","262","5.75","65473","74","12.875",
"864798076","626404300","159513287","77.67","89.20000000000005","2.51","76.0","38.25","251.0","9.65","49.0","764.0","300","130","92","28","1","0.0","89.20000000000005","2.51","243","95","260","5.625","65473","74","12.875",
"864798077","626404514","159512986","80.3","89.20000000000005","2.547","78.0","38.5","254.0","9.46","49.09","809.0","300","131","91","28","1","0.5","89.20000000000005","2.547","255","95","262","5.375","65473","72","12.125",
"864798078","626404704","159512664","82.84","89.0","2.547","77.0","38.5","253.0","9.15","49.09","819.0","300","131","91","28","1","0.0","89.0","2.547","260","91","264","5.375","65473","72","12.0",
"864798079","626404900","159512339","85.43","89.0","2.538","74.0","38.5","253.0","9.06","49.21","824.0","300","132","91","28","1","0.5","89.0","2.538","253","89","262","5.625","65473","74","12.375",
"864798080","626405113","159512045","88.02","89.0","2.538","73.0","38.75","253.0","8.87","49.21","826.0","300","133","91","28","1","0.5","89.0","2.538","246","92","262","5.5","65473","73","12.375",
"864798081","626405329","159511775","90.54","88.79999999999995","2.529","73.0","38.75","253.0","8.87","49.31","823.0","300","134","91","28","1","0.5","88.79999999999995","2.529","260","92","258","5.375","65473","72","12.875",
"864798082","626405541","159511470","93.16","88.79999999999995","2.529","74.0","38.75","253.0","8.87","49.31","820.0","300","134","91","28","1","0.5","88.79999999999995","2.529","260","92","264","5.625","65474","74","12.25",
"864798083","626405761","159511177","95.79","88.79999999999995","2.529","74.0","38.75","253.0","8.87","49.31","818.0","300","135","91","28","1","0.5","88.79999999999995","2.529","260","91","260","5.5","65473","73","12.625",
"864798084","626405992","159510900","98.44","89.0","2.529","73.0","39.0","255.0","8.87","49.31","815.0","300","135","91","28","1","0.5","89.0","2.529","259","90","258","5.5","65473","73","12.625",
"864798085","626406189","159510597","100.96","89.0","2.529","73.0","39.0","256.0","8.87","49.31","814.0","300","137","91","28","1","0.5","89.0","2.529","255","92","260","5.625","65473","74","12.5",
"864798086","626406400","159510305","103.5","89.20000000000005","2.529","73.0","38.75","254.0","8.87","49.4","813.0","300","137","91","28","1","0.5","89.20000000000005","2.529","253","91","260","5.625","65473","74","12.75",
"864798087","626406592","159509977","106.09","89.39999999999998","2.529","73.0","39.25","257.0","8.78","49.4","812.0","300","137","91","28","1","0.5","89.39999999999998","2.529","253","91","258","5.75","65473","74","12.875",
"864798088","626406766","159509602","108.76","89.79999999999995","2.529","72.2","39.5","258.0","8.78","49.4","807.0","300","137","91","28","1","0.5","89.79999999999995","2.529","244","92","270","5.625","65473","74","12.0",
"864798089","626406926","159509218","111.4","90.0","2.529","73.0","39.25","258.0","8.87","49.4","810.0","300","138","91","28","1","0.0","90.0","2.529","244","90","266","5.375","65473","71","12.25",
"864798090","626407089","159508826","114.08","90.20000000000005","2.519","72.2","39.25","260.0","8.78","49.4","812.0","300","138","90","28","1","0.5","90.20000000000005","2.519","258","91","264","5.375","65474","72","12.25",
"864798091","626407279","159508458","116.81","90.39999999999998","2.519","72.2","39.25","259.0","8.87","49.5","810.0","300","138","90","28","1","0.5","90.39999999999998","2.519","261","89","268","5.375","65474","72","12.25",
"864798092","626407467","159508005","119.93","90.39999999999998","2.529","73.0","39.5","261.0","8.87","49.5","809.0","300","139","91","28","1","0.0","90.39999999999998","2.529","263","92","268","5.375","65474","72","12.25",
"864798093","626407665","159507542","123.13","90.60000000000002","2.547","73.0","39.25","260.0","8.87","49.5","818.0","300","139","90","28","1","0.5","90.60000000000002","2.547","267","91","268","5.375","65474","72","12.0",
"864798094","626407865","159507128","126.12","90.60000000000002","2.566","73.0","39.0","259.0","8.78","49.5","843.0","300","140","90","28","1","0.5","90.60000000000002","2.566","263","89","274","5.375","65474","71","11.75",
"864798095","626408053","159506719","129.03","90.39999999999998","2.585","74.0","39.0","258.0","8.68","49.5","852.0","300","139","90","28","1","0.5","90.39999999999998","2.585","257","90","274","5.25","65474","71","11.625",
"864798096","626408259","159506276","132.19","90.39999999999998","2.585","74.0","39.0","258.0","8.46","49.5","865.0","300","139","90","28","1","0.5","90.39999999999998","2.585","264","90","274","5.25","65474","71","11.5",
"864798097","626408493","159505855","135.41","90.39999999999998","2.603","74.0","38.75","257.0","8.46","49.5","865.0","300","140","90","28","1","0.0","90.39999999999998","2.603","257","90","274","5.25","65474","71","11.375",
