record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"855555979","626401085","159519505","0.0","-18.399999999999977","0.0","100","87","0","24","0.0","-18.399999999999977","0.0","0","0","0","0.0",
"855555980","626401477","159518554","6.36","58.0","0.0","100","87","0","24","0.0","58.0","0.0","0","0","0","0.0",
"855555981","626401627","159518384","8.06","57.200000000000045","0.0","100","85","0","24","0.0","57.200000000000045","0.0","0","0","0","0.0",
"855555982","626401879","159518175","10.69","57.200000000000045","0.98","100","84","0","24","0.0","57.200000000000045","0.98","0","0","0","0.0",
"855555983","626402168","159517984","13.59","56.799999999999955","2.435","100","84","0","24","0.0","56.799999999999955","2.435","0","0","0","0.0",
"855555984","626402591","159517864","17.57","57.0","2.435","100","83","0","24","0.0","57.0","2.435","0","0","0","0.0",
"855555985","626402913","159517703","20.71","56.60000000000002","2.79","100","84","91","24","0.5","56.60000000000002","2.79","0","0","0","0.0",
"855555986","626403119","159517516","22.87","56.799999999999955","2.986","100","84","91","24","0.5","56.799999999999955","2.986","0","0","0","0.0",
"855555987","626403219","159517251","24.61","56.799999999999955","2.986","100","90","91","24","0.5","56.799999999999955","2.986","0","0","0","0.0",
"855555988","626403330","159516932","26.6","56.799999999999955","2.79","100","92","92","24","0.0","56.799999999999955","2.79","0","0","0","0.0",
"855555989","626403377","159516609","28.33","56.799999999999955","2.501","100","98","92","24","0.0","56.799999999999955","2.501","0","0","0","0.0",
"855555990","626403377","159516319","29.41","56.799999999999955","2.482","100","103","92","24","0.0","56.799999999999955","2.482","0","0","0","0.0",
"855555991","626403411","159516049","30.87","56.60000000000002","2.445","100","106","92","24","0.0","56.60000000000002","2.445","0","0","0","0.0",
"855555992","626403446","159515885","31.35","56.60000000000002","2.398","100","109","92","24","0.0","56.60000000000002","2.398","0","0","0","0.0",
"855555993","626403454","159515882","31.35","56.799999999999955","2.323","100","109","92","24","0.0","56.799999999999955","2.323","0","0","0","0.0",
"855555994","626403422","159516002","32.02","57.0","2.155","100","115","92","24","0.0","57.0","2.155","0","0","0","0.0",
"855555995","626403428","159516049","32.11","57.0","1.894","100","111","92","24","0.0","57.0","1.894","0","0","0","0.0",
"855555996","626403487","159515978","32.77","57.0","1.68","100","112","91","24","0.0","57.0","1.68","0","0","0","0.0",
"855555997","626403625","159515911","34.08","57.0","1.586","100","113","91","24","0.0","57.0","1.586","0","0","0","0.0",
"855555998","626403780","159515824","35.55","57.200000000000045","1.586","100","114","91","24","0.0","57.200000000000045","1.586","0","0","0","0.0",
"855555999","626403906","159515723","36.86","57.0","2.034","100","117","89","24","0.0","57.0","2.034","0","0","0","0.0",
