record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"855212426","626401135","159521768","0.52","57.39999999999998","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300","74","0","24","1","0.0","57.39999999999998","0.0","0","0","0","0.0",
"855212427","626401044","159521806","0.52","57.39999999999998","0.028","0.0","0.0","0.0","0.0","0.0","0.0","300","73","0","24","1","0.0","57.39999999999998","0.028","0","0","0","0.0",
"855212428","626400664","159522025","1.71","57.0","0.028","6.7","50.0","359.0","0.0","42.06","0.0","300","73","77","24","1","0.0","57.0","0.028","0","0","0","0.0",
"855212429","626400309","159522288","4.11","57.60000000000002","0.028","63.2","38.25","242.0","2.62","44.59","12.0","300","76","96","24","1","0.5","57.60000000000002","0.028","0","0","0","0.0",
"855212430","626399896","159522618","8.03","57.200000000000045","3.574","70.2","38.25","243.0","41.18","46.09","177.0","300","83","95","24","1","0.0","57.200000000000045","3.574","0","0","0","0.0",
"855212431","626399612","159522893","10.92","57.200000000000045","3.63","71.2","38.5","243.0","5.84","47.46","1152.0","300","89","95","24","1","0.0","57.200000000000045","3.63","0","0","0","0.0",
"855212432","626399491","159523157","12.78","57.39999999999998","3.63","71.2","38.5","245.0","6.25","47.78","1262.0","300","95","94","24","1","0.5","57.39999999999998","3.63","0","0","0","0.0",
"855212433","626399106","159523606","17.14","57.39999999999998","2.267","71.2","38.75","248.0","5.65","48.06","1352.0","300","95","94","24","1","0.0","57.39999999999998","2.267","0","0","0","0.0",
"855212434","626398778","159524089","21.16","57.39999999999998","2.267","71.2","38.75","248.0","5.56","48.71","1208.0","300","101","94","24","1","0.0","57.39999999999998","2.267","0","0","0","0.0",
"855212435","626398530","159524492","24.39","57.39999999999998","3.144","71.2","39.25","252.0","5.84","48.93","999.0","300","104","93","24","1","0.5","57.39999999999998","3.144","0","0","0","0.0",
"855212436","626398431","159524738","26.05","57.200000000000045","3.144","72.2","39.0","252.0","6.12","49.06","1039.0","300","105","92","24","1","0.0","57.200000000000045","3.144","0","0","0","0.0",
"855212437","626398327","159524954","27.58","57.200000000000045","2.846","72.2","39.0","252.0","6.34","49.25","1020.0","300","108","92","24","1","0.0","57.200000000000045","2.846","0","0","0","0.0",
"855212438","626398261","159525126","28.73","57.0","2.174","71.2","39.25","255.0","6.62","49.34","1002.0","300","109","92","24","1","0.0","57.0","2.174","0","0","0","0.0",
"855212439","626398136","159525362","30.52","56.799999999999955","1.819","71.2","39.25","254.0","6.9","49.34","851.0","300","111","92","24","1","0.0","56.799999999999955","1.819","0","0","0","0.0",
"855212440","626397977","159525537","32.23","56.799999999999955","1.819","72.2","39.0","254.0","7.81","49.34","785.0","300","112","92","24","1","0.0","56.799999999999955","1.819","0","0","0","0.0",
"855212441","626397751","159525828","34.91","56.60000000000002","1.838","70.2","39.5","255.0","7.81","49.34","785.0","300","113","92","24","1","0.0","56.60000000000002","1.838","0","0","0","0.0",
"855212442","626397545","159526105","37.38","56.60000000000002","1.997","70.2","39.25","253.0","9.15","49.34","644.0","300","114","93","24","1","0.0","56.60000000000002","1.997","0","0","0","0.0",
"855212443","626397277","159526438","40.49","56.60000000000002","2.445","70.2","39.25","253.0","9.93","49.34","639.0","300","115","93","24","1","0.0","56.60000000000002","2.445","0","0","0","0.0",
"855212444","626397024","159526783","43.54","56.60000000000002","2.491","70.2","39.25","253.0","10.03","49.46","654.0","300","116","93","24","1","0.0","56.60000000000002","2.491","0","0","0","0.0",
"855212445","626396799","159527082","46.24","56.799999999999955","2.743","70.2","39.25","253.0","9.84","49.46","691.0","300","117","93","24","1","0.0","56.799999999999955","2.743","0","0","0","0.0",
"855212446","626396564","159527364","48.96","57.200000000000045","2.743","69.2","40.0","258.0","9.84","49.46","691.0","300","118","92","24","1","0.5","57.200000000000045","2.743","0","0","0","0.0",
"855212447","626396333","159527609","51.52","57.200000000000045","2.641","69.2","40.0","258.0","9.06","49.56","841.0","300","119","92","24","1","0.5","57.200000000000045","2.641","0","0","0","0.0",
"855212448","626396113","159527903","54.16","57.200000000000045","2.575","69.2","39.5","257.0","8.87","49.56","837.0","300","119","91","24","1","0.5","57.200000000000045","2.575","0","0","0","0.0",
"855212449","626395911","159528158","56.52","57.0","2.529","69.2","39.5","257.0","8.59","49.78","830.0","300","119","91","24","1","0.5","57.0","2.529","0","0","0","0.0",
"855212450","626395687","159528531","59.5","57.200000000000045","2.51","68.2","40.25","261.0","8.46","49.87","830.0","300","120","91","24","1","0.5","57.200000000000045","2.51","0","0","0","0.0",
"855212451","626395508","159528825","61.85","57.200000000000045","2.51","69.2","40.0","262.0","8.46","49.87","828.0","300","120","91","24","1","0.5","57.200000000000045","2.51","0","0","0","0.0",
"855212452","626395316","159529119","64.29","57.0","2.482","69.2","40.0","261.0","8.46","50.0","823.0","300","121","91","24","1","0.5","57.0","2.482","0","0","0","0.0",
"855212453","626395058","159529483","67.43","57.0","2.482","69.2","39.75","260.0","8.46","50.0","814.0","300","122","91","24","1","0.5","57.0","2.482","0","0","0","0.0",
"855212454","626394851","159529867","70.35","57.0","2.482","69.2","39.75","261.0","8.46","50.0","814.0","300","122","91","24","1","0.5","57.0","2.482","0","0","0","0.0",
"855212455","626394583","159530258","73.67","57.0","2.547","69.2","39.75","261.0","8.59","50.0","800.0","300","123","91","24","1","0.5","57.0","2.547","0","0","0","0.0",
"855212456","626394352","159530651","76.78","57.0","2.585","71.2","39.75","260.0","8.59","50.0","808.0","300","124","91","23","1","0.5","57.0","2.585","0","0","0","0.0",
"855212457","626394124","159531025","79.78","57.0","2.631","71.2","39.75","260.0","8.37","50.0","831.0","300","124","91","23","1","0.5","57.0","2.631","0","0","0","0.0",
"855212458","626393893","159531357","82.63","57.0","2.659","70.2","39.75","259.0","8.18","50.0","846.0","300","125","92","23","1","0.0","57.0","2.659","0","0","0","0.0",
"855212459","626393688","159531695","85.34","57.0","2.678","69.2","39.5","258.0","8.09","50.0","862.0","300","125","92","23","1","0.0","57.0","2.678","0","0","0","0.0",
"855212460","626393473","159531926","87.72","56.799999999999955","2.687","69.2","39.75","258.0","7.81","50.0","888.0","300","126","92","23","1","0.0","56.799999999999955","2.687","0","0","0","0.0",
"855212461","626393257","159532200","90.27","56.799999999999955","2.687","70.2","39.75","259.0","7.68","50.0","900.0","300","127","91","23","1","0.5","56.799999999999955","2.687","0","0","0","0.0",
"855212462","626393024","159532545","93.2","56.60000000000002","2.669","70.2","39.75","261.0","7.68","50.0","909.0","300","127","91","23","1","0.0","56.60000000000002","2.669","0","0","0","0.0",
"855212463","626392797","159532986","96.48","56.799999999999955","2.659","71.2","39.75","262.0","7.81","50.0","893.0","300","127","90","23","1","0.5","56.799999999999955","2.659","0","0","0","0.0",
"855212464","626392565","159533386","99.62","56.60000000000002","2.659","70.2","40.0","262.0","7.81","50.0","881.0","300","128","91","23","1","0.0","56.60000000000002","2.659","0","0","0","0.0",
"855212465","626392340","159533807","102.81","56.799999999999955","2.687","70.2","40.0","262.0","7.68","50.0","879.0","300","128","91","23","1","0.0","56.799999999999955","2.687","0","0","0","0.0",
"855212466","626392145","159534264","105.97","56.799999999999955","2.697","69.2","40.0","264.0","7.59","50.0","887.0","300","128","91","23","1","0.0","56.799999999999955","2.697","0","0","0","0.0",
"855212467","626391979","159534679","108.8","57.0","2.706","69.2","40.0","264.0","7.59","50.0","886.0","300","128","91","23","1","0.0","57.0","2.706","0","0","0","0.0",
"855212468","626391815","159535059","111.45","57.200000000000045","2.715","68.2","40.25","264.0","7.5","50.0","899.0","300","129","91","23","1","0.5","57.200000000000045","2.715","0","0","0","0.0",
"855212469","626391637","159535434","114.15","57.200000000000045","2.725","68.2","40.25","264.0","7.4","50.0","904.0","300","129","91","23","1","0.5","57.200000000000045","2.725","0","0","0","0.0",
"855212470","626391437","159535891","117.35","57.200000000000045","2.715","69.2","40.0","264.0","7.4","49.87","916.0","300","129","91","23","1","0.0","57.200000000000045","2.715","0","0","0","0.0",
"855212471","626391243","159536292","120.27","57.39999999999998","2.715","69.2","40.0","264.0","7.4","49.87","913.0","300","129","91","23","1","0.0","57.39999999999998","2.715","0","0","0","0.0",
"855212472","626391034","159536671","123.17","57.39999999999998","2.725","69.2","40.0","266.0","7.31","49.87","914.0","300","129","90","23","1","0.0","57.39999999999998","2.725","0","0","0","0.0",
"855212473","626390855","159537111","126.18","57.39999999999998","2.734","69.2","40.0","266.0","7.4","49.87","908.0","300","129","90","23","1","0.5","57.39999999999998","2.734","0","0","0","0.0",
"855212474","626390702","159537468","128.66","57.200000000000045","2.743","69.2","40.0","263.0","7.5","49.87","903.0","300","129","91","23","1","0.5","57.200000000000045","2.743","0","0","0","0.0",
"855212475","626390515","159537883","131.6","57.200000000000045","2.743","69.2","40.0","260.0","7.5","50.0","900.0","300","130","92","23","1","0.5","57.200000000000045","2.743","0","0","0","0.0",
"855212476","626390315","159538288","134.56","57.0","2.743","71.2","39.75","261.0","7.59","50.0","912.0","300","130","92","23","1","0.0","57.0","2.743","0","0","0","0.0",
"855212477","626390073","159538742","137.99","57.0","2.753","70.2","40.0","261.0","7.5","50.0","904.0","300","131","91","23","1","0.5","57.0","2.753","0","0","0","0.0",
"855212478","626389826","159539228","141.59","56.799999999999955","2.753","69.2","40.0","261.0","7.4","50.09","903.0","300","131","92","23","1","0.0","56.799999999999955","2.753","0","0","0","0.0",
"855212479","626389577","159539736","145.3","56.799999999999955","2.771","68.2","40.0","261.0","7.31","50.09","905.0","300","133","92","22","1","0.0","56.799999999999955","2.771","0","0","0","0.0",
"855212480","626389332","159540319","149.33","56.799999999999955","2.799","67.2","40.0","261.0","7.12","50.09","926.0","300","133","92","22","1","0.0","56.799999999999955","2.799","0","0","0","0.0",
"855212481","626389065","159540943","153.66","56.799999999999955","2.827","67.2","39.75","261.0","7.03","50.09","940.0","300","133","91","22","1","0.5","56.799999999999955","2.827","0","0","0","0.0",
"855212482","626388851","159541504","157.43","56.799999999999955","2.865","69.2","39.75","261.0","7.03","50.09","983.0","300","132","91","22","1","0.5","56.799999999999955","2.865","0","0","0","0.0",
"855212483","626388654","159542102","161.29","56.799999999999955","2.902","70.2","39.75","260.0","6.9","50.0","1012.0","300","133","91","22","1","0.5","56.799999999999955","2.902","0","0","0","0.0",
"855212484","626388536","159542686","164.8","56.799999999999955","2.948","71.2","39.5","260.0","6.9","50.0","1028.0","300","133","91","22","1","0.0","56.799999999999955","2.948","0","0","0","0.0",
"855212485","626388473","159543271","168.18","56.799999999999955","2.986","71.2","39.75","260.0","6.71","50.0","1024.0","300","133","91","22","1","0.5","56.799999999999955","2.986","0","0","0","0.0",
"855212486","626388491","159543809","171.24","56.799999999999955","3.004","70.2","39.75","259.0","6.62","50.0","1040.0","300","134","92","22","1","0.0","56.799999999999955","3.004","0","0","0","0.0",
"855212487","626388595","159544242","173.89","56.60000000000002","3.023","70.2","40.0","261.0","6.53","50.09","1050.0","300","134","92","22","1","0.0","56.60000000000002","3.023","0","0","0","0.0",
"855212488","626388764","159544620","176.55","56.799999999999955","3.023","71.2","39.5","260.0","6.53","50.09","1063.0","300","135","91","22","1","0.5","56.799999999999955","3.023","0","0","0","0.0",
"855212489","626388917","159544971","179.01","56.60000000000002","2.976","71.2","39.25","260.0","6.62","50.09","1073.0","300","135","90","22","1","0.5","56.60000000000002","2.976","0","0","0","0.0",
"855212490","626389071","159545334","181.52","56.799999999999955","2.958","73.0","39.25","261.0","6.62","50.09","1054.0","300","135","90","22","1","0.0","56.799999999999955","2.958","0","0","0","0.0",
"855212491","626389271","159545773","184.58","56.60000000000002","2.911","73.0","39.25","262.0","6.81","50.09","1028.0","300","135","89","22","1","0.5","56.60000000000002","2.911","0","0","0","0.0",
"855212492","626389401","159546107","186.83","56.799999999999955","2.883","75.0","39.5","264.0","6.9","50.09","1016.0","300","136","89","22","1","0.0","56.799999999999955","2.883","0","0","0","0.0",
"855212493","626389669","159546431","189.62","56.799999999999955","2.883","75.0","39.5","264.0","7.21","50.0","904.0","300","136","89","22","1","0.0","56.799999999999955","2.883","0","0","0","0.0",
"855212494","626390154","159546659","193.06","56.799999999999955","2.846","73.0","39.75","264.0","7.31","50.0","919.0","300","137","90","22","1","0.0","56.799999999999955","2.846","0","0","0","0.0",
"855212495","626390264","159547025","195.19","56.39999999999998","2.846","72.2","40.0","265.0","7.31","50.09","916.0","300","137","90","22","1","0.0","56.39999999999998","2.846","0","0","0","0.0",
"855212496","626390112","159547453","198.0","56.60000000000002","2.846","70.2","40.0","265.0","7.31","50.09","914.0","300","138","90","22","1","0.5","56.60000000000002","2.846","0","0","0","0.0",
"855212497","626389845","159547870","201.44","56.60000000000002","2.837","68.2","40.0","263.0","7.31","50.0","912.0","300","138","91","22","1","0.0","56.60000000000002","2.837","0","0","0","0.0",
"855212498","626389493","159548259","205.4","56.799999999999955","2.837","66.2","40.0","262.0","7.21","49.81","906.0","300","138","91","22","1","0.5","56.799999999999955","2.837","0","0","0","0.0",
"855212499","626389109","159548625","209.53","57.0","2.837","66.2","40.0","262.0","7.12","49.81","907.0","300","138","91","22","1","0.0","57.0","2.837","0","0","0","0.0",
"855212500","626388686","159548986","213.98","57.39999999999998","2.874","67.2","39.5","260.0","7.21","49.81","909.0","300","138","91","22","1","0.0","57.39999999999998","2.874","0","0","0","0.0",
"855212501","626388303","159549272","217.89","57.60000000000002","2.911","68.2","39.75","262.0","7.12","49.81","919.0","300","138","91","22","1","0.0","57.60000000000002","2.911","0","0","0","0.0",
"855212502","626387949","159549533","221.5","57.799999999999955","2.948","68.2","40.0","262.0","7.12","49.81","927.0","300","139","91","22","1","0.5","57.799999999999955","2.948","0","0","0","0.0",
"855212503","626387618","159549790","224.92","57.799999999999955","3.014","67.2","40.0","263.0","6.9","49.81","952.0","300","139","91","22","1","0.5","57.799999999999955","3.014","0","0","0","0.0",
"855212504","626387296","159550065","228.31","57.799999999999955","3.051","67.2","40.25","265.0","6.71","49.71","1033.0","300","139","91","22","1","0.0","57.799999999999955","3.051","0","0","0","0.0",
"855212505","626386961","159550321","231.75","57.799999999999955","3.06","66.2","40.25","263.0","6.53","49.62","1027.0","300","139","92","21","1","0.0","57.799999999999955","3.06","0","0","0","0.0",
"855212506","626386623","159550504","235.07","57.799999999999955","3.07","66.2","40.0","262.0","6.43","49.62","1021.0","300","139","92","21","1","0.0","57.799999999999955","3.07","0","0","0","0.0",
"855212507","626386286","159550710","238.43","57.799999999999955","3.088","65.2","40.0","260.0","6.43","49.62","1017.0","300","139","92","21","1","0.5","57.799999999999955","3.088","0","0","0","0.0",
"855212508","626385967","159550913","241.62","57.60000000000002","3.098","66.2","40.0","259.0","6.43","49.62","1018.0","300","140","92","21","1","0.5","57.60000000000002","3.098","0","0","0","0.0",
"855212509","626385638","159551152","244.96","57.60000000000002","3.107","66.2","39.75","259.0","6.43","49.62","1014.0","300","139","92","21","1","0.5","57.60000000000002","3.107","0","0","0","0.0",
"855212510","626385315","159551522","248.57","57.39999999999998","3.116","66.2","39.75","259.0","6.43","49.71","1020.0","300","139","92","21","1","0.0","57.39999999999998","3.116","0","0","0","0.0",
"855212511","626384997","159551736","251.76","57.60000000000002","3.126","66.2","40.0","260.0","6.34","49.71","1017.0","300","140","92","21","1","0.0","57.60000000000002","3.126","0","0","0","0.0",
"855212512","626384685","159551930","254.87","57.60000000000002","3.163","66.2","40.0","260.0","6.43","49.71","1014.0","300","140","92","21","1","0.0","57.60000000000002","3.163","0","0","0","0.0",
"855212513","626384350","159552156","258.23","57.799999999999955","3.163","66.2","40.0","259.0","6.43","49.71","1014.0","300","140","92","21","1","0.5","57.799999999999955","3.163","0","0","0","0.0",
"855212514","626384027","159552282","261.33","57.799999999999955","3.163","66.2","39.75","257.0","6.43","49.71","1013.0","300","140","92","21","1","0.5","57.799999999999955","3.163","0","0","0","0.0",
"855212515","626383681","159552477","264.73","57.799999999999955","3.154","66.2","39.5","256.0","6.34","49.71","1014.0","300","140","92","21","1","0.5","57.799999999999955","3.154","0","0","0","0.0",
"855212516","626383344","159552681","268.07","57.799999999999955","3.172","66.2","40.0","258.0","6.34","49.71","1013.0","300","140","92","21","1","0.5","57.799999999999955","3.172","0","0","0","0.0",
"855212517","626383008","159552893","271.42","57.799999999999955","3.182","66.2","40.0","259.0","6.43","49.81","1014.0","300","140","92","21","1","0.5","57.799999999999955","3.182","0","0","0","0.0",
"855212518","626382627","159553260","275.48","57.799999999999955","3.182","66.2","40.25","260.0","6.34","49.81","1017.0","300","140","92","21","1","0.5","57.799999999999955","3.182","0","0","0","0.0",
"855212519","626382258","159553584","279.34","57.799999999999955","3.2","66.2","40.0","259.0","6.34","49.81","1019.0","300","140","92","21","1","0.0","57.799999999999955","3.2","0","0","0","0.0",
"855212520","626381917","159553809","282.74","57.799999999999955","3.275","66.2","40.0","258.0","6.34","49.9","1018.0","300","141","92","21","1","0.5","57.799999999999955","3.275","0","0","0","0.0",
"855212521","626381425","159553630","287.31","57.60000000000002","3.331","66.2","40.0","257.0","6.25","49.9","1041.0","300","141","92","21","1","0.5","57.60000000000002","3.331","0","0","0","0.0",
"855212522","626381075","159553494","290.54","57.60000000000002","3.331","66.2","39.75","258.0","6.12","50.03","1126.0","300","141","92","21","1","0.0","57.60000000000002","3.331","0","0","0","0.0",
"855212523","626380681","159553433","294.19","57.60000000000002","3.322","66.2","39.75","258.0","6.03","50.03","1100.0","300","141","92","21","1","0.0","57.60000000000002","3.322","0","0","0","0.0",
"855212524","626380375","159553219","297.09","57.60000000000002","3.322","66.2","40.0","258.0","6.03","50.12","1073.0","300","140","92","21","1","0.5","57.60000000000002","3.322","0","0","0","0.0",
"855212525","626380101","159553022","299.72","57.799999999999955","3.322","66.2","40.0","259.0","6.03","50.12","1068.0","300","140","92","21","1","0.5","57.799999999999955","3.322","0","0","0","0.0",
"855212526","626379822","159552940","302.28","58.0","3.312","65.2","39.75","257.0","6.03","50.12","1062.0","300","140","92","21","1","0.5","58.0","3.312","0","0","0","0.0",
"855212527","626379529","159552978","304.99","58.200000000000045","3.256","67.2","39.5","257.0","6.12","50.12","1059.0","300","140","92","21","1","0.5","58.200000000000045","3.256","0","0","0","0.0",
"855212528","626379197","159553009","308.09","58.39999999999998","3.2","67.2","39.5","256.0","6.34","50.21","976.0","300","140","92","21","1","0.5","58.39999999999998","3.2","0","0","0","0.0",
"855212529","626378869","159552998","311.14","58.39999999999998","3.182","67.2","39.5","257.0","6.43","50.21","961.0","300","140","92","21","1","0.5","58.39999999999998","3.182","0","0","0","0.0",
"855212530","626378559","159552917","314.06","58.39999999999998","3.163","67.2","39.5","256.0","6.62","50.12","947.0","300","140","92","21","1","0.5","58.39999999999998","3.163","0","0","0","0.0",
"855212531","626378260","159552807","316.88","58.39999999999998","3.163","67.2","39.5","258.0","6.53","50.12","977.0","300","140","92","21","1","0.0","58.39999999999998","3.163","0","0","0","0.0",
"855212532","626377963","159552687","319.73","58.39999999999998","3.144","66.2","40.0","260.0","6.43","50.03","971.0","300","141","92","21","1","0.0","58.39999999999998","3.144","0","0","0","0.0",
"855212533","626377679","159552616","322.41","58.39999999999998","3.116","65.2","39.75","259.0","6.53","50.03","965.0","300","141","92","20","1","0.5","58.39999999999998","3.116","0","0","0","0.0",
"855212534","626377392","159552483","325.17","58.200000000000045","3.088","65.2","39.5","257.0","6.62","50.03","955.0","300","140","92","20","1","0.5","58.200000000000045","3.088","0","0","0","0.0",
"855212535","626377102","159552421","327.89","58.200000000000045","2.986","65.2","40.0","260.0","6.71","50.12","953.0","300","141","92","20","1","0.5","58.200000000000045","2.986","0","0","0","0.0",
"855212536","626376823","159552316","330.55","57.799999999999955","2.976","65.2","40.0","260.0","6.9","50.21","923.0","300","141","92","20","1","0.5","57.799999999999955","2.976","0","0","0","0.0",
"855212537","626376542","159552213","333.22","58.0","2.976","67.2","39.75","260.0","7.03","50.21","921.0","300","143","92","20","1","0.0","58.0","2.976","0","0","0","0.0",
"855212538","626376268","159552084","335.87","57.799999999999955","2.967","67.2","39.5","259.0","7.12","50.21","919.0","300","143","91","20","1","0.5","57.799999999999955","2.967","0","0","0","0.0",
"855212539","626375976","159551957","338.68","58.0","2.958","67.2","39.5","259.0","7.21","50.21","915.0","300","143","91","20","1","0.5","58.0","2.958","0","0","0","0.0",
"855212540","626375715","159551849","341.17","58.0","2.948","67.2","39.5","259.0","7.21","50.21","914.0","300","141","91","20","1","0.5","58.0","2.948","0","0","0","0.0",
"855212541","626375480","159551734","343.44","58.0","2.948","67.2","39.5","259.0","7.21","50.21","907.0","300","140","91","20","1","0.5","58.0","2.948","0","0","0","0.0",
"855212542","626375248","159551638","345.67","58.200000000000045","2.939","66.2","39.75","259.0","7.21","50.21","903.0","300","140","92","20","1","0.0","58.200000000000045","2.939","0","0","0","0.0",
"855212543","626374997","159551565","348.04","58.200000000000045","2.921","66.2","40.0","261.0","7.12","50.21","901.0","300","140","92","20","1","0.0","58.200000000000045","2.921","0","0","0","0.0",
"855212544","626374744","159551536","350.39","58.200000000000045","2.911","66.2","40.0","262.0","7.21","50.12","895.0","300","141","91","20","1","0.5","58.200000000000045","2.911","0","0","0","0.0",
"855212545","626374744","159551536","350.39","58.200000000000045","2.883","66.2","40.0","263.0","7.31","50.12","889.0","300","141","91","20","1","0.5","58.200000000000045","2.883","0","0","0","0.0",
"855212546","626374200","159551444","355.48","58.200000000000045","2.846","66.2","40.25","266.0","7.4","50.12","875.0","300","141","90","20","1","0.5","58.200000000000045","2.846","0","0","0","0.0",
"855212547","626373950","159551386","357.84","58.200000000000045","2.827","66.2","40.25","266.0","7.5","50.12","861.0","300","140","90","20","1","0.5","58.200000000000045","2.827","0","0","0","0.0",
"855212548","626373703","159551316","360.18","58.200000000000045","2.79","67.2","40.25","265.0","7.59","50.12","858.0","300","141","91","20","1","0.0","58.200000000000045","2.79","0","0","0","0.0",
"855212549","626373410","159551237","362.94","58.200000000000045","2.743","69.2","40.0","265.0","7.68","50.21","861.0","300","141","90","20","1","0.5","58.200000000000045","2.743","0","0","0","0.0",
"855212550","626373124","159551205","365.62","58.200000000000045","2.734","68.2","40.0","264.0","7.68","50.21","861.0","300","141","90","20","1","0.5","58.200000000000045","2.734","0","0","0","0.0",
"855212551","626372828","159551098","368.43","58.0","2.725","67.2","40.0","264.0","7.59","50.21","854.0","300","141","90","20","1","0.5","58.0","2.725","0","0","0","0.0",
"855212552","626372583","159551051","370.73","58.0","2.725","67.2","40.0","265.0","7.59","50.21","854.0","300","140","90","20","1","0.5","58.0","2.725","0","0","0","0.0",
"855212553","626372307","159550955","373.35","58.0","2.706","66.2","40.0","265.0","7.59","50.21","854.0","300","140","91","20","1","0.0","58.0","2.706","0","0","0","0.0",
"855212554","626372086","159550967","375.42","58.200000000000045","2.706","66.2","40.25","264.0","7.59","50.21","860.0","300","140","91","20","1","0.0","58.200000000000045","2.706","0","0","0","0.0",
"855212555","626371811","159550926","378.0","58.0","2.659","66.2","40.25","264.0","7.5","50.21","863.0","300","140","91","20","1","0.5","58.0","2.659","0","0","0","0.0",
"855212556","626371588","159550976","380.09","58.0","2.659","66.2","40.5","264.0","7.5","50.21","859.0","300","139","91","20","1","0.5","58.0","2.659","0","0","0","0.0",
"855212557","626371327","159550948","382.53","57.799999999999955","2.65","66.2","40.25","263.0","7.5","50.31","857.0","300","139","91","20","1","0.5","57.799999999999955","2.65","0","0","0","0.0",
"855212558","626371053","159550915","385.09","57.799999999999955","2.631","66.2","40.0","261.0","7.59","50.31","854.0","300","139","91","20","1","0.5","57.799999999999955","2.631","0","0","0","0.0",
"855212559","626370782","159550858","387.64","57.799999999999955","2.622","66.2","40.0","262.0","7.68","50.31","847.0","300","139","91","20","1","0.5","57.799999999999955","2.622","0","0","0","0.0",
"855212560","626370524","159550808","390.05","57.799999999999955","2.622","66.2","39.75","258.0","7.9","50.31","833.0","300","139","92","20","1","0.0","57.799999999999955","2.622","0","0","0","0.0",
"855212561","626370247","159550681","392.74","57.799999999999955","2.613","68.2","40.0","260.0","7.9","50.31","835.0","300","139","91","20","1","0.5","57.799999999999955","2.613","0","0","0","0.0",
"855212562","626369978","159550563","395.34","57.799999999999955","2.613","68.2","39.75","260.0","8.0","50.31","839.0","300","139","91","20","1","0.5","57.799999999999955","2.613","0","0","0","0.0",
"855212563","626369743","159550480","397.58","57.799999999999955","2.613","69.2","39.75","262.0","7.9","50.31","839.0","300","140","91","20","1","0.0","57.799999999999955","2.613","0","0","0","0.0",
"855212564","626369513","159550387","399.79","57.799999999999955","2.613","67.2","40.25","264.0","7.81","50.21","840.0","300","140","91","20","1","0.0","57.799999999999955","2.613","0","0","0","0.0",
